#ID DescID M200b Vmax Vrms R200b Rs Np X Y Z VX VY VZ Parent_ID
74523 -1 4.1871e+13 1007.054 0 808.662 0 1050 128.623520 111.791252 6.989030 -180.684204 81.261749 -249.632416 -1
74534 -1 3.2181e+13 929.143 0 740.734 0 807 233.954178 102.155319 33.686058 60.970757 8.244771 545.875122 -1
74537 -1 9.8895e+12 598.233 0 499.867 0 248 233.997299 102.473083 35.183262 85.126442 45.259338 -271.738342 -1
74562 -1 1.2761e+13 637.651 0 544.195 0 320 179.752548 164.113235 57.854160 174.308502 288.988953 249.934494 -1
74575 -1 1.0328e+13 596.045 0 507.151 0 259 122.884468 8.327885 252.569275 -39.266956 350.665985 149.913101 -1
74580 -1 1.8583e+13 746.943 0 616.831 0 466 123.335381 9.641937 253.399368 -325.520996 -212.360657 34.515953 -1
74583 -1 3.2978e+13 874.545 0 746.803 0 827 132.279617 44.907391 129.605392 -173.207565 -189.081940 66.703957 -1
74589 -1 1.2521e+13 655.330 0 540.772 0 314 124.920731 246.537994 35.179974 -50.947666 -268.537231 -343.448364 -1
74596 -1 1.7386e+13 726.096 0 603.300 0 436 120.020027 63.530579 205.938202 16.498573 -264.451080 -328.087555 -1
74598 -1 8.8128e+12 504.328 0 481.026 0 221 119.300964 63.113636 205.840012 911.631775 183.725662 -358.276367 -1
74603 -1 8.5337e+12 562.159 0 475.892 0 214 113.573509 54.770611 130.833847 39.430706 11.477378 100.282753 -1
74625 -1 1.0368e+13 513.049 0 507.803 0 260 119.643532 240.125565 135.342743 52.502907 315.908783 -397.872681 -1
74663 -1 2.1653e+13 824.415 0 649.089 0 543 42.831661 184.034393 171.634872 -67.020691 -107.253754 -153.603317 -1
74672 -1 1.2561e+13 673.063 0 541.345 0 315 123.530495 112.480385 1.172358 234.597717 330.532379 -23.220102 -1
74674 -1 1.0248e+13 604.377 0 505.842 0 257 10.428919 244.257492 177.626404 372.214020 49.298168 -381.363159 -1
74676 -1 1.1046e+13 633.997 0 518.638 0 277 11.707574 244.167694 176.976105 -221.485535 79.190506 -21.147121 -1
74679 -1 1.0248e+13 612.857 0 505.842 0 257 2.278297 115.414848 79.176392 -88.403893 -150.961227 -130.834930 -1
74684 -1 1.1006e+13 645.423 0 518.013 0 276 143.603149 81.707191 18.917311 -509.692688 72.266129 25.605667 -1
74689 -1 1.3319e+13 659.873 0 552.018 0 334 48.467152 46.773949 29.068790 54.912750 -47.350750 -20.594343 -1
74695 -1 1.5393e+13 782.725 0 579.295 0 386 102.710129 227.587845 107.768761 148.125748 247.096176 41.943871 -1
74701 -1 1.6509e+13 770.506 0 592.977 0 414 120.407555 206.462326 225.411728 -325.485260 152.254547 257.158142 -1
74704 -1 1.4156e+13 674.466 0 563.353 0 355 103.758057 245.895966 29.563936 216.498413 -86.360474 138.051895 -1
74708 -1 1.5791e+13 680.320 0 584.255 0 396 100.982887 97.006615 191.841415 177.369553 -0.469577 -221.981644 -1
74713 -1 1.611e+13 769.977 0 588.163 0 404 119.312981 234.564056 184.190231 -108.523766 -16.404623 -377.057434 -1
74716 -1 8.4539e+12 595.798 0 474.405 0 212 39.537750 154.704971 3.268420 56.671894 -369.600677 169.655380 -1
74724 -1 1.1205e+13 644.123 0 521.122 0 281 31.014351 119.614159 20.135399 12.717811 155.531204 66.313408 -1
74737 -1 1.2162e+13 627.016 0 535.555 0 305 139.189606 165.529999 35.270622 99.903107 93.794304 -241.074570 -1
74741 -1 1.0488e+13 599.396 0 509.749 0 263 210.138504 32.757347 166.996918 -102.253075 262.578247 261.824127 -1
74750 -1 1.8702e+13 742.337 0 618.152 0 469 18.523809 251.586548 244.154022 -107.810486 -57.047108 -138.617477 -1
74753 -1 1.2641e+13 633.836 0 542.489 0 317 110.647881 131.730560 206.342239 -91.636353 132.253418 -174.011292 -1
74763 -1 1.1843e+13 650.859 0 530.831 0 297 256.845306 182.068939 7.144382 -40.134766 25.779171 -39.369511 -1
74774 -1 8.414e+12 553.605 0 473.658 0 211 121.737762 54.551258 199.361252 334.409088 -313.928162 -16.691015 -1
74789 -1 1.3797e+13 652.134 0 558.551 0 346 98.042084 96.434418 194.706299 761.337341 131.973190 -434.741699 -1
74792 -1 8.3742e+12 573.188 0 472.909 0 210 170.886551 63.726440 188.288315 -350.252014 -387.965179 342.661957 -1
74793 -1 8.2147e+12 551.108 0 469.887 0 206 170.681335 63.642017 189.371887 -15.836100 -298.031342 -126.017769 -1
74794 -1 1.3399e+13 669.351 0 553.117 0 336 126.243050 114.481285 166.658356 -268.900208 -132.410309 231.623428 -1
74806 -1 1.7386e+13 758.115 0 603.300 0 436 23.933441 252.142563 9.892474 84.735359 -253.092880 36.242264 -1
74810 -1 1.4236e+13 678.568 0 564.409 0 357 99.234756 221.349579 223.482895 37.936203 19.932405 40.272152 -1
74830 -1 1.0328e+13 658.731 0 507.151 0 259 153.952713 86.097160 104.311554 252.998840 21.751326 -257.216217 -1
74833 -1 1.6429e+13 695.792 0 592.020 0 412 94.322403 130.333191 219.234634 399.229675 -54.207626 -143.674957 -1
74837 -1 8.0153e+12 556.872 0 466.054 0 201 112.371674 165.251587 220.707260 -84.014557 201.462784 58.821827 -1
74851 -1 1.5712e+13 773.214 0 583.270 0 394 102.887619 112.092010 173.516098 40.329517 -179.466217 122.607735 -1
74857 -1 1.8543e+13 830.997 0 616.389 0 465 137.789246 246.878098 194.910675 -81.403175 12.899126 -247.855789 -1
